Country Name,Country Code,Series,Series Code,2000,2001,2002,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,AFG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,3.46201,2.6042,3.45446,3.69522,3.2558,4.22836,4.05887,,,
Albania,ALB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.43017,3.4587,3.1178,,,3.5393,,3.43797,3.96209,3.61172,,,
Algeria,DZA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
American Samoa,ASM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Andorra,AND,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,1.65971,2.98706,,2.50616,3.07421,3.28035,3.23707,3.21709,3.24672,3.15162,
Angola,AGO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.60753,,,,,,,,,,,,
Antigua and Barbuda,ATG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,3.39428,,,,,,,,,,
Arab World,ARB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,,,,,,,,,,,,,
Argentina,ARG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.58031,4.83374,4.01734,5.29063,5.34583,5.43661,5.36144,5.77611,5.54549,5.46223,,,
Armenia,ARM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.77273,2.46944,2.13504,3.14385,2.77248,2.65018,2.24724,2.80591,2.75812,2.70759,,,
Aruba,ABW,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.71468,4.73986,4.92365,6.11913,6.54906,6.50538,5.90521,5.97571,5.52415,,,,
Australia,AUS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,4.89147,,,5.07451,4.869,5.22974,5.16477,5.31127,5.27678,5.12425,,,
Austria,AUT,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.58881,5.57548,5.52213,5.59227,5.4804,5.54711,5.44762,5.45658,5.48435,5.35804,,,
