Country Name,Country Code,Series Name,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,AFG,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
Afghanistan,AFG,Forest area (% of land area),1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088,1.850994088
Albania,ALB,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.019039555,0,0,0,0,0
Albania,ALB,Forest area (% of land area),28.59465328,28.64660584,28.69855839,28.75051095,28.8024635,28.80218978,28.79206204,28.7919708,28.7919708,28.7919708
Algeria,DZA,Annual deforestation (% of change) - (for online table only),0,0,0,0,-1.437634892,0,0,0,0,0
Algeria,DZA,Forest area (% of land area),0.808484553,0.811675498,0.814866442,0.818057387,0.821247986,0.821247986,0.815789794,0.810331602,0.81411035,0.81830896
American Samoa,ASM,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.190895548,0,0,0,0,0
American Samoa,ASM,Forest area (% of land area),87,86.85,86.7,86.55,86.4,86.25,86.1,85.95,85.8,85.65
Andorra,AND,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
Andorra,AND,Forest area (% of land area),34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319,34.04255319
Angola,AGO,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.212066537,0,0,0,0,0
Angola,AGO,Forest area (% of land area),57.4339761,56.9887511,56.54352611,56.09830111,55.65307612,55.20784471,54.76262934,54.31740595,53.87217454,53.42695115
Antigua and Barbuda,ATG,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.134594056,0,0,0,0,0
Antigua and Barbuda,ATG,Forest area (% of land area),19.80454545,19.65454545,19.50454545,19.35454545,19.20454545,19.04545455,18.90909091,18.75,18.59090909,18.45454545
Arab World,ARB,Annual deforestation (% of change) - (for online table only),0,0,0,0,1.498731306,0,0,0,0,0
Arab World,ARB,Forest area (% of land area),2.97909048,2.960547902,2.942050711,2.923542713,2.905073453,2.887458066,2.868050195,2.848500463,2.830678707,2.812928807
Argentina,ARG,Annual deforestation (% of change) - (for online table only),0,0,0,0,1.070066088,0,0,0,0,0
Argentina,ARG,Forest area (% of land area),10.9587129,10.87708144,10.79544998,10.71381852,10.63218706,10.60039683,10.55983688,10.52037315,10.48017861,10.44071488
Armenia,ARM,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.020048131,0,0,0,0,0
Armenia,ARM,Forest area (% of land area),11.60351247,11.59620653,11.5889006,11.58159466,11.57428872,11.56691254,11.55953635,11.55216017,11.54478398,11.5374078
Aruba,ABW,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
Aruba,ABW,Forest area (% of land area),2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333,2.333333333
Australia,AUS,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.214831143,0,0,0,0,0
Australia,AUS,Forest area (% of land area),16.95531026,17.04768884,17.14006743,17.23244601,17.3248246,17.42548771,17.42291362,17.42131456,17.42131456,17.42131456
Austria,AUT,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.053645572,0,0,0,0,0
Austria,AUT,Forest area (% of land area),46.83564879,46.88320372,46.93986502,46.98801546,47.03332525,47.07695104,47.12045565,47.16396025,47.20746486,47.25096946
Azerbaijan,AZE,Annual deforestation (% of change) - (for online table only),0,0,0,0,-1.800666964,0,0,0,0,0
Azerbaijan,AZE,Forest area (% of land area),12.60099567,12.71082654,12.82050351,12.92970858,13.03953365,13.15441152,13.27314606,13.41392976,13.55336705,13.69286423
"Bahamas, The",BHS,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
"Bahamas, The",BHS,Forest area (% of land area),50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494,50.93506494
Bahrain,BHR,Annual deforestation (% of change) - (for online table only),0,0,0,0,-3.275340396,0,0,0,0,0
Bahrain,BHR,Forest area (% of land area),0.698826597,0.716883117,0.737662338,0.757457847,0.771208226,0.795892169,0.820512821,0.846153846,0.871794872,0.897435897
Bangladesh,BGD,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.179345858,0,0,0,0,0
Bangladesh,BGD,Forest area (% of land area),14.4991442,14.49155105,14.4839579,14.47636475,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161
Barbados,BRB,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
Barbados,BRB,Forest area (% of land area),14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279,14.65116279
Belarus,BLR,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.284756561,0,0,0,0,0
Belarus,BLR,Forest area (% of land area),42.53462126,42.53807107,42.54194019,42.53176531,42.53416626,42.90696987,42.97797921,43.05153217,43.12296778,43.19440339
Belgium,BEL,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.159063838,0,0,0,0,0
Belgium,BEL,Forest area (% of land area),22.77926024,22.77549538,22.77173052,22.76796565,22.76420079,22.76420079,22.76420079,22.76420079,22.76420079,22.76420079
Belize,BLZ,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.438041204,0,0,0,0,0
Belize,BLZ,Forest area (% of land area),60.48566418,59.97220517,59.45874616,58.94528715,58.43182815,57.94300745,57.45374836,56.96492766,56.47566857,55.98640947
Benin,BEN,Annual deforestation (% of change) - (for online table only),0,0,0,0,1.063598011,0,0,0,0,0
Benin,BEN,Forest area (% of land area),31.79451933,31.35109968,30.90768003,30.46426038,30.02084072,29.57742107,29.13400142,28.69058177,28.24716211,27.80374246
Bermuda,BMU,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
Bermuda,BMU,Forest area (% of land area),18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852,18.51851852
Bhutan,BTN,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.371190915,0,0,0,0,0
Bhutan,BTN,Forest area (% of land area),71.02521185,71.0771047,71.12899756,71.18089042,71.23278327,71.23427013,71.28617869,71.34556896,71.39748296,71.44939696
Bolivia,BOL,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.616935994,0,0,0,0,0
Bolivia,BOL,Forest area (% of land area),48.80850365,48.61302871,48.41755377,48.22207883,48.0266039,47.77132835,47.53274255,47.31213884,47.10953568,46.92491461
Bosnia and Herzegovina,BIH,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,BIH,Forest area (% of land area),41.29351563,41.51945313,41.74539063,41.97132813,42.19726563,42.50996094,42.73261719,42.73261719,42.73261719,42.73261719
Botswana,BWA,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.963869614,0,0,0,0,0
Botswana,BWA,Forest area (% of land area),28.79572283,28.58698146,28.37824008,28.1694987,27.96075733,27.75201595,27.54327458,27.3345332,27.12579182,26.91705045
Brazil,BRA,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.363842871,0,0,0,0,0
Brazil,BRA,Forest area (% of land area),61.02332816,60.83917474,60.65502133,60.47086792,60.28671451,60.07103255,59.83288148,59.70842795,59.55852618,59.41747805
British Virgin Islands,VGB,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.091409105,0,0,0,0,0
British Virgin Islands,VGB,Forest area (% of land area),24.24,24.21333333,24.18666667,24.16,24.13333333,24.13333333,24.13333333,24.13333333,24.13333333,24.13333333
Brunei Darussalam,BRN,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.291341627,0,0,0,0,0
Brunei Darussalam,BRN,Forest area (% of land area),72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186,72.10626186
Bulgaria,BGR,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.834396043,0,0,0,0,0
Bulgaria,BGR,Forest area (% of land area),34.60022108,34.7770818,34.95394252,35.13080324,35.30766396,35.38135593,35.50110538,35.62085483,35.74060427,35.86035372
Burkina Faso,BFA,Annual deforestation (% of change) - (for online table only),0,0,0,0,1.029100493,0,0,0,0,0
Burkina Faso,BFA,Forest area (% of land area),24.36578947,24.18296784,24.0001462,23.81732456,23.63450292,23.45175439,23.26900585,23.08625731,22.90350877,22.72076023
Burundi,BDI,Annual deforestation (% of change) - (for online table only),0,0,0,0,-2.238921479,0,0,0,0,0
Burundi,BDI,Forest area (% of land area),8.219626168,8.887071651,9.554517134,10.22196262,10.8894081,10.8894081,10.8894081,10.8894081,10.8894081,10.8894081
Cabo Verde,CPV,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.607717389,0,0,0,0,0
Cabo Verde,CPV,Forest area (% of land area),10.67493797,10.74937965,10.82382134,10.89826303,10.97270471,11.0471464,11.12158809,11.19602978,11.27047146,11.34491315
Cambodia,KHM,Annual deforestation (% of change) - (for online table only),0,0,0,0,1.321746184,0,0,0,0,0
Cambodia,KHM,Forest area (% of land area),58.01466123,56.04048266,54.0663041,52.09212554,50.11794697,49.2359506,48.35395423,47.47195785,46.58996148,45.7079651
Cameroon,CMR,Annual deforestation (% of change) - (for online table only),0,0,0,0,1.071509706,0,0,0,0,0
Cameroon,CMR,Forest area (% of land area),44.0957035,43.97723763,43.85877176,43.7403059,43.62184003,43.50337416,43.38490829,43.26644243,43.14797656,43.02951069
Canada,CAN,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.014063977,0,0,0,0,0
Canada,CAN,Forest area (% of land area),38.73486407,38.73025757,38.72565107,38.72104457,38.71643807,38.71201338,38.7078876,38.70376294,38.69963717,38.69551251
Caribbean small states,CSS,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.049530711,0,0,0,0,0
Caribbean small states,CSS,Forest area (% of land area),90.46069408,90.38726442,90.31383475,90.24040509,90.16697542,90.09704829,90.03712486,89.96502408,89.8928245,89.82072372
Cayman Islands,CYM,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
Cayman Islands,CYM,Forest area (% of land area),53,53,53,53,53,53,53,53.375,53,53
Central African Republic,CAF,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.069972113,0,0,0,0,0
Central African Republic,CAF,Forest area (% of land area),36.23390799,36.18575235,36.13759671,36.08944107,36.04128543,35.9931298,35.94497416,35.89681852,35.84866288,35.80050724
Central Europe and the Baltics,CEB,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.333095645,0,0,0,0,0
Central Europe and the Baltics,CEB,Forest area (% of land area),33.86482193,34.00228098,34.10068837,34.19174244,34.32355844,34.37746888,34.43279075,34.46348908,34.49213499,34.51987695
Chad,TCD,Annual deforestation (% of change) - (for online table only),0,0,0,0,1.721988154,0,0,0,0,0
Chad,TCD,Forest area (% of land area),4.290025413,4.188373571,4.086721728,3.985069886,3.883418043,3.787325286,3.693614994,3.601493011,3.511753494,3.425190597
Channel Islands,CHI,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
Channel Islands,CHI,Forest area (% of land area),5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,5.151515152,0,0
Chile,CHL,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.758734321,0,0,0,0,0
Chile,CHL,Forest area (% of land area),22.72857658,22.96281532,23.19705406,23.4312928,23.66553154,23.83086404,23.99619653,24.16152903,24.32686152,24.49215367
China,CHN,Annual deforestation (% of change) - (for online table only),0,0,0,0,-1.092114113,0,0,0,0,0
China,CHN,Forest area (% of land area),21.49109623,21.69659602,21.90209487,22.10759465,22.31309418,22.5428773,22.74231029,22.94173538,23.14116554,23.3405957
Colombia,COL,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.364810438,0,0,0,0,0
Colombia,COL,Forest area (% of land area),54.68514105,54.56380171,54.44246237,54.32112303,54.19978369,54.04190176,53.84386661,53.66424516,53.48463272,53.30501127
Comoros,COM,Annual deforestation (% of change) - (for online table only),0,0,0,0,1.296486111,0,0,0,0,0
Comoros,COM,Forest area (% of land area),19.80763031,19.57227297,19.33691564,19.1015583,18.86620097,18.62976894,18.39333692,18.16227834,17.92584632,17.68941429
"Congo, Dem. Rep.",COD,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.200828706,0,0,0,0,0
"Congo, Dem. Rep.",COD,Forest area (% of land area),60.01968373,59.53386471,59.0480457,58.56222668,58.07640767,57.59058689,57.10477052,56.61894974,56.13312896,55.64731259
"Congo, Rep.",COG,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.065917764,0,0,0,0,0
"Congo, Rep.",COG,Forest area (% of land area),64.60614934,64.57101025,64.53587116,64.50073206,64.46559297,64.43045388,64.39531479,64.35139092,64.30746706,64.26354319
Costa Rica,CRI,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.993987237,0,0,0,0,0
Costa Rica,CRI,Forest area (% of land area),56.55240893,56.8729338,57.19345868,57.51398355,57.83450842,58.15511163,58.47571485,58.79612221,59.11672542,59.43732863
Cote d'Ivoire,CIV,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.046966371,0,0,0,0,0
Cote d'Ivoire,CIV,Forest area (% of land area),12.11538994,11.76040252,11.40541509,11.05042767,10.69544025,10.34044025,9.985440252,9.630440252,9.275471698,8.920471698
Croatia,HRV,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.129673935,0,0,0,0,0
Croatia,HRV,Forest area (% of land area),34.31736955,34.32451751,34.33166548,33.95652942,33.96359781,34.00106379,34.13338752,34.17759321,34.22177063,34.26594805
Cuba,CUB,Annual deforestation (% of change) - (for online table only),0,0,0,0,-1.838048285,0,0,0,0,0
Cuba,CUB,Forest area (% of land area),27.90863068,28.43720991,29.58357321,30.12497597,30.58597502,31.1514802,31.23314066,31.23314066,31.23314066,31.23314066
Curacao,CUW,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
Curacao,CUW,Forest area (% of land area),0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658,0.157657658
Cyprus,CYP,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.042219075,0,0,0,0,0
Cyprus,CYP,Forest area (% of land area),18.70281385,18.7,18.69718615,18.69437229,18.69155844,18.68073593,18.67857143,18.67640693,18.67424242,18.67207792
Czech Republic,CZE,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.07544403,0,0,0,0,0
Czech Republic,CZE,Forest area (% of land area),34.43270326,34.46567396,34.4986532,34.52716913,34.5601606,34.57459207,34.60251263,34.63044041,34.65388601,34.67733161
Denmark,DNK,Annual deforestation (% of change) - (for online table only),0,0,0,0,-0.297727955,0,0,0,0,0
Denmark,DNK,Forest area (% of land area),14.00254537,15.04415,15.2351,15.42605,15.617,15.6165,15.64,15.664,15.6875,15.711
Djibouti,DJI,Annual deforestation (% of change) - (for online table only),0,0,0,0,0,0,0,0,0,0
Djibouti,DJI,Forest area (% of land area),0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.241587575,0.242018982,0.243313201,0.245901639,0.250215703
Dominica,DMA,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.586931509,0,0,0,0,0
Dominica,DMA,Forest area (% of land area),63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667,63.82666667
Dominican Republic,DOM,Annual deforestation (% of change) - (for online table only),0,0,0,0,-1.942104195,0,0,0,0,0
Dominican Republic,DOM,Forest area (% of land area),43.03924653,43.16563858,43.29203064,43.41842269,43.54481474,43.71227489,43.87973504,44.0471952,44.21465535,44.3821155
Ecuador,ECU,Annual deforestation (% of change) - (for online table only),0,0,0,0,0.597891007,0,0,0,0,0
Ecuador,ECU,Forest area (% of land area),52.28856499,52.12025286,51.95194073,51.7836286,51.61531648,51.3565389,51.09776131,50.83898373,50.58020615,50.32142857
